identifier,type,size,beds,baths,price,location
1240,Apartment,2091,3,4,3260000.0,marina arcade tower
1241,Apartment,841,1,2,1452747.0,marina arcade tower
1242,Apartment,789,1,2,1362925.0,marina arcade tower
1243,Apartment,1552,2,2,1800000.0,emaar 6 towers
1244,Apartment,2164,3,2,1800000.0,marina view
1245,Apartment,761,1,1,900000.0,marina quays
1246,Apartment,1386,2,3,1900000.0,marina gate
1247,Apartment,1386,2,3,1975000.0,marina gate
1248,Apartment,1724,3,4,3259888.0,5242
1249,Apartment,507,0,1,949548.0,liv residence
1250,Apartment,861,1,2,1749548.0,liv residence
1251,Apartment,1043,2,3,1915000.0,liv residence
1252,Apartment,871,1,2,1355000.0,liv residence
1253,Apartment,1715,2,3,2200000.0,emaar 6 towers
1254,Apartment,817,1,2,950000.0,the belvedere
1255,Apartment,720,1,2,1150000.0,botanica tower
1256,Apartment,838,1,2,1450000.0,marina gate
1257,Apartment,1502,3,3,1000000.0,sulafa tower
1258,Apartment,848,1,2,1350000.0,damac heights
1259,Apartment,2100,3,3,3200000.0,marina arcade tower
1260,Apartment,1357,2,3,1500000.0,dorra bay
1261,Apartment,1497,2,3,2450000.0,marina promenade
1262,Apartment,775,1,2,1800000.0,marina gate
1263,Apartment,1312,2,3,2175000.0,marina gate
1264,Apartment,772,1,2,1100000.0,marina gate
1265,Apartment,1283,2,3,1050000.0,la riviera
1266,Apartment,1490,2,2,785000.0,dec towers
1267,Apartment,923,1,2,800000.0,princess tower
1268,Apartment,1258,2,2,1050000.0,the torch
1269,Apartment,2980,3,4,2400000.0,23 marina
1270,Apartment,1739,2,3,850000.0,dec towers
1271,Apartment,1245,3,4,1327500.0,marina wharf
1272,Penthouse,5624,5,5,6500000.0,23 marina
1274,Apartment,1497,2,3,2089000.0,marina promenade
1275,Apartment,1026,1,2,1475000.0,marina promenade
1276,Apartment,1497,2,3,2100000.0,marina promenade
1277,Apartment,1246,3,3,1100000.0,marina wharf
1278,Apartment,1602,2,3,1799950.0,trident grand residence
1279,Apartment,712,1,1,1131000.0,studio one
1280,Apartment,887,1,1,735000.0,azure
1281,Apartment,1750,2,3,1200000.0,azure
1282,Apartment,3881,3,6,3900000.0,emirates crown
1283,Apartment,723,1,1,970000.0,studio one
1284,Apartment,773,1,2,1533000.0,marina gate
1285,Apartment,877,1,2,495000.0,marina pearl
1286,Apartment,1733,3,3,1400000.0,the zen tower
1287,Apartment,1454,2,3,1164000.0,the zen tower
1288,Apartment,1667,2,3,1250000.0,kg tower
1289,Apartment,1168,2,2,950000.0,yacht bay
1290,Apartment,1875,2,3,2100000.0,trident oceanic
1291,Apartment,5757,4,5,3745000.0,marina view
1292,Apartment,2995,3,4,1990000.0,yacht bay
1293,Apartment,770,1,2,1600000.0,marina gate
1294,Apartment,613,1,2,595000.0,marina residence
1295,Apartment,1532,3,2,1275000.0,la riviera
1296,Apartment,834,2,2,1550000.0,studio one
1297,Apartment,2590,4,5,2950000.0,emaar 6 towers
1298,Apartment,847,1,2,1450000.0,damac heights
1299,Apartment,1303,2,3,1650000.0,al majara
1300,Apartment,713,1,2,875000.0,west avenue tower
1301,Apartment,1056,2,3,2300000.0,5242
1302,Apartment,614,1,2,1300000.0,5242
1303,Apartment,1102,2,3,1730000.0,studio one
1304,Apartment,1100,1,2,800000.0,the jewels
1305,Apartment,690,1,2,775000.0,dream towers
1306,Apartment,2980,3,4,2349000.0,23 marina
1307,Apartment,1258,2,2,1149950.0,the torch
1308,Apartment,2451,4,4,1649000.0,horizon tower
1309,Apartment,897,1,2,1500000.0,the address dubai marina
1310,Apartment,1105,1,2,800000.0,the jewels
1311,Townhouse,4447,4,5,7000000.0,the jewels
1312,Apartment,1432,2,3,1999999.0,marina gate
1313,Duplex,2484,3,4,2200000.0,dorra bay
1314,Apartment,3022,4,5,2000000.0,marina crown
1315,Apartment,2174,3,4,1600000.0,marina crown
1316,Apartment,2314,3,3,2260000.0,trident bayside
1317,Apartment,638,1,1,750000.0,bay central
1318,Apartment,660,1,2,1000000.0,no.9
1319,Apartment,1150,2,3,1575000.0,no.9
1320,Apartment,2449,3,3,2099000.0,trident marinascape
1321,Apartment,822,1,2,750000.0,marina wharf
1322,Apartment,753,1,1,565000.0,marina diamond 4
1323,Apartment,762,1,2,845000.0,marina quays
