identifier,type,size,beds,baths,price,location
1530,Apartment,857,1,2,780000.0,marina view
1531,Apartment,821,1,2,1400000.0,liv residence
1532,Apartment,1769,3,4,3000000.0,liv residence
1533,Apartment,2291,2,3,3350000.0,liv residence
1534,Apartment,1384,2,3,1800000.0,liv residence
1535,Apartment,1050,2,2,840000.0,marina diamond 4
1536,Apartment,805,1,2,1299000.0,liv residence
1537,Apartment,520,0,1,480000.0,dec towers
1538,Apartment,1507,3,3,1200000.0,sulafa tower
1539,Apartment,950,1,2,630000.0,dec towers
1540,Apartment,661,1,2,1130000.0,no.9
1541,Apartment,666,1,1,590000.0,marina diamond 2
1542,Apartment,2000,3,3,2090000.0,marina tower
1543,Apartment,800,1,2,1200000.0,marina quays
1544,Apartment,838,1,2,1400000.0,marina gate
1545,Apartment,1619,3,4,2900000.0,5242
1546,Apartment,1056,2,2,1800000.0,5242
1547,Apartment,1653,2,3,1550000.0,trident marinascape
1548,Apartment,1278,2,2,850000.0,the torch
1549,Apartment,1302,2,3,1800000.0,park island
1550,Apartment,958,1,2,1100000.0,marina promenade
1551,Apartment,1258,2,2,899900.0,the torch
1552,Apartment,827,1,2,690000.0,bay central
1553,Apartment,958,1,2,1250000.0,marina promenade
1554,Apartment,1036,1,2,1400000.0,marina promenade
1555,Apartment,1304,2,3,950000.0,princess tower
1556,Apartment,3201,4,5,2900000.0,princess tower
1557,Penthouse,3172,4,6,3950000.0,elite residence
1558,Penthouse,7600,5,5,11000000.0,trident grand residence
1559,Apartment,2179,2,3,2200000.0,the jewels
1560,Apartment,1036,1,2,1400000.0,marina promenade
1561,Apartment,692,1,1,675000.0,time place tower
1562,Penthouse,3313,3,3,6958500.0,no.9
1563,Penthouse,3313,3,3,6950500.0,no.9
1564,Apartment,473,0,1,680000.0,sparkle towers
1565,Apartment,476,0,1,680000.0,sparkle towers
1566,Apartment,609,1,1,500000.0,wyndham marina dubai
1567,Apartment,2409,4,4,1800000.0,horizon tower
1568,Apartment,1620,2,3,1175000.0,23 marina
1571,Duplex,2787,3,4,4700000.0,vida residences marina dubai
1572,Apartment,1017,1,2,1700000.0,vida residences marina dubai
1573,Apartment,3554,3,5,4500000.0,al seef tower
1574,Apartment,2547,4,5,3200000.0,cayan tower
1575,Apartment,1102,1,2,800000.0,the jewels
1576,Apartment,775,1,2,1000000.0,marina quays
1577,Apartment,1550,2,3,1600000.0,marina quays
1578,Apartment,833,1,2,890000.0,botanica tower
1579,Apartment,830,1,2,899998.0,botanica tower
1580,Apartment,720,1,2,790000.0,botanica tower
1581,Apartment,807,1,2,770000.0,botanica tower
1582,Apartment,807,1,2,890000.0,botanica tower
1583,Apartment,1318,2,2,1419998.0,orra marina
1584,Apartment,1170,2,3,1200000.0,ocean heights
1585,Apartment,877,1,2,950000.0,ocean heights
1586,Apartment,1256,2,2,2250000.0,marina quays
1587,Apartment,1075,1,2,1200000.0,marina promenade
1588,Apartment,1390,2,2,1600000.0,sulafa tower
1589,Apartment,1375,2,3,1900000.0,cayan tower
1590,Apartment,699,1,2,1000000.0,west avenue tower
1591,Apartment,700,1,2,900000.0,west avenue tower
1592,Apartment,700,1,2,825000.0,west avenue tower
1593,Apartment,1120,2,2,1694888.0,5242
1594,Apartment,762,1,2,1220000.0,cayan tower
1595,Apartment,728,1,2,800000.0,skyview tower
1596,Apartment,728,1,2,850000.0,skyview tower
1597,Penthouse,2649,3,4,6249999.0,marina quays
1598,Apartment,1256,2,2,1895000.0,marina quays
1599,Apartment,1062,2,2,1850000.0,silverene
1600,Penthouse,6307,4,5,14000000.0,le reve
1601,Apartment,1067,2,2,1450000.0,silverene
1602,Penthouse,3313,3,4,6958500.0,no.9
1603,Apartment,3080,3,3,2000000.0,23 marina
1604,Apartment,3554,4,5,3750000.0,al seef tower
1605,Apartment,709,1,1,760000.0,park island
1606,Apartment,709,1,1,760000.0,park island
1607,Apartment,3882,3,6,3950000.0,emirates crown
1608,Apartment,1979,3,4,4500000.0,marina promenade
1609,Apartment,753,1,1,630000.0,marina diamond 4
1610,Apartment,841,1,1,925000.0,al majara
1611,Apartment,1502,3,3,1150000.0,sulafa tower
1612,Apartment,1596,3,3,1700000.0,skyview tower
1613,Apartment,1243,2,3,1890000.0,liv residence
1614,Penthouse,4717,4,5,9990548.0,liv residence
1615,Apartment,1563,2,3,1995000.0,damac heights
1616,Penthouse,4642,4,5,11900000.0,marina gate
1617,Apartment,1259,2,3,2400000.0,marina gate
1618,Apartment,2297,3,4,3400000.0,al sahab
1619,Apartment,8000,4,5,10500000.0,emirates crown
1620,Apartment,2857,3,4,1900000.0,marina mansions
1621,Apartment,2455,2,4,1600000.0,emirates crown
1622,Apartment,981,2,2,1305000.0,la riviera
1623,Apartment,1036,1,2,1400000.0,marina promenade
1624,Apartment,2007,3,4,1650000.0,princess tower
1625,Apartment,1739,2,3,850000.0,dec towers
1626,Apartment,1277,2,2,1890000.0,marina gate
1627,Apartment,788,1,1,1150000.0,west avenue tower
1628,Apartment,1411,2,3,850000.0,marina crown
1629,Apartment,2450,2,2,1620000.0,emirates crown
1630,Apartment,609,0,1,650000.0,yacht bay
1631,Apartment,1653,2,3,1680000.0,trident marinascape
1632,Apartment,693,1,2,950000.0,bay central
1633,Apartment,923,1,2,825000.0,princess tower
1634,Apartment,1910,2,3,1850000.0,the address dubai marina
1635,Apartment,909,1,2,1050000.0,park island
1636,Apartment,801,1,2,900000.0,elite residence
1637,Apartment,1405,2,3,2099950.0,marina promenade
1638,Apartment,651,1,2,1099999.0,bay central
1639,Apartment,1688,2,2,2485000.0,emaar 6 towers
1640,Apartment,1405,2,3,2099950.0,marina promenade
1641,Apartment,2755,3,4,3000000.0,emaar 6 towers
1642,Apartment,1150,2,2,1400000.0,la riviera
1643,Apartment,864,1,2,700000.0,mag 218
1644,Apartment,1279,2,2,1090000.0,the torch
1645,Apartment,2990,3,4,2590000.0,23 marina
1646,Apartment,886,1,1,700000.0,the torch
1647,Penthouse,5456,5,6,5700000.0,marina heights
1648,Apartment,1198,2,2,820000.0,the torch
1649,Penthouse,3442,2,3,9000000.0,la residencia del mar
1650,Apartment,848,1,1,1100000.0,the address dubai marina
1651,Apartment,1700,2,3,1550000.0,mag 218
1652,Apartment,2330,3,4,1650000.0,trident waterfront
1653,Apartment,1350,2,2,1199999.0,skyview tower
1654,Apartment,923,1,2,780000.0,princess tower
1655,Apartment,859,1,2,1695000.0,liv residence
1656,Apartment,1550,2,3,1625000.0,iris blue
1657,Apartment,1441,2,3,1900000.0,silverene
1658,Penthouse,5600,4,4,6500000.0,23 marina
1659,Apartment,1497,2,3,2450000.0,marina promenade
1660,Apartment,967,1,2,1245000.0,damac heights
1661,Apartment,1066,2,2,1500000.0,silverene
1662,Apartment,1315,2,2,1500000.0,ocean heights
1663,Duplex,3348,3,5,2525000.0,trident bayside
1664,Apartment,957,1,2,1300000.0,marina promenade
1665,Apartment,958,1,2,1200000.0,marina promenade
1666,Apartment,714,1,2,600000.0,marina diamond 6
1667,Apartment,877,1,2,970000.0,ocean heights
1668,Apartment,708,1,1,650000.0,marina diamond 6
1669,Apartment,950,1,2,999999.0,park island
1670,Apartment,1998,3,4,2400000.0,princess tower
1671,Apartment,746,1,1,1200000.0,vida residences marina dubai
1672,Apartment,1075,1,2,1250000.0,marina promenade
1673,Apartment,2097,3,4,2950000.0,marina promenade
1674,Apartment,1073,1,2,1250000.0,marina promenade
1675,Apartment,1595,3,3,1199999.0,la riviera
1676,Apartment,844,1,2,685000.0,mag 218
1677,Apartment,1430,1,2,1750000.0,marina promenade
1678,Apartment,1271,2,3,999905.0,yacht bay
1679,Apartment,1202,2,3,1200000.0,yacht bay
1680,Apartment,713,1,2,1100000.0,cayan tower
1681,Apartment,838,1,2,1380000.0,marina gate
1682,Apartment,2080,3,4,1700000.0,azure
1683,Apartment,1302,2,3,1700000.0,park island
1684,Apartment,1000,2,2,810000.0,marina diamond 4
1685,Penthouse,4834,4,6,5799000.0,marina crown
1686,Apartment,720,1,1,775000.0,botanica tower
1687,Apartment,919,1,2,899999.0,al sahab
1688,Penthouse,6727,5,6,8999999.0,emaar 6 towers
1689,Apartment,1219,2,2,795000.0,marina pinnacle
1690,Apartment,1207,2,3,1550000.0,marina arcade tower
1691,Apartment,1275,2,2,750000.0,marina park
1692,Apartment,1350,2,3,1594950.0,orra marina
1693,Penthouse,5810,4,5,12950000.0,marina gate
1694,Apartment,1329,2,3,1450000.0,elite residence
1695,Apartment,1913,2,3,1550000.0,sparkle towers
1696,Apartment,600,1,2,1450000.0,silverene
1697,Penthouse,5500,4,5,6900000.0,23 marina
1698,Apartment,690,1,2,775000.0,dream towers
1699,Apartment,1167,2,2,800000.0,yacht bay
1700,Apartment,2755,3,4,3500000.0,emaar 6 towers
1701,Apartment,980,1,2,850000.0,dorra bay
1702,Apartment,1209,2,2,850000.0,marina pinnacle
1703,Apartment,775,1,2,1575000.0,marina gate
1704,Apartment,1008,1,2,1249950.0,marina promenade
1705,Apartment,908,1,1,830000.0,mag 218
1706,Apartment,838,1,2,1490000.0,marina gate
1707,Apartment,1382,2,3,2500000.0,marina gate
1708,Apartment,1856,3,5,2000000.0,skyview tower
1709,Apartment,1653,2,3,1530000.0,trident marinascape
1710,Apartment,762,1,2,950000.0,marina tower
1711,Apartment,2345,3,4,3199999.0,emaar 6 towers
1712,Apartment,1770,3,4,3129548.0,liv residence
1713,Apartment,1043,2,3,1914548.0,liv residence
1714,Apartment,871,1,2,1354548.0,liv residence
1715,Apartment,461,0,1,837548.0,liv residence
1716,Apartment,1304,2,2,1100000.0,princess tower
1717,Apartment,1694,2,2,2975000.0,emaar 6 towers
1718,Apartment,1256,2,2,1580000.0,marina quays
1719,Apartment,755,1,2,1574950.0,marina gate
1720,Apartment,370,0,1,355000.0,manchester tower
1721,Apartment,1586,2,3,1350000.0,opal tower marina
1722,Apartment,1586,2,4,1350000.0,opal tower marina
1723,Apartment,1586,2,4,1350000.0,opal tower marina
1724,Apartment,1723,2,3,1240000.0,mag 218
1725,Apartment,1820,2,3,1500000.0,mag 218
1726,Apartment,2405,3,4,1700000.0,the point
1727,Apartment,1558,2,3,1990000.0,marina promenade
1728,Apartment,960,1,2,1100000.0,sparkle towers
1729,Apartment,840,1,1,900000.0,al majara
1730,Apartment,1910,2,3,2300000.0,the address dubai marina
1731,Apartment,958,1,2,1250000.0,marina promenade
1732,Apartment,1485,2,3,1500000.0,marina crown
1733,Apartment,720,1,1,800000.0,botanica tower
1735,Apartment,720,1,2,825000.0,botanica tower
1736,Apartment,1596,2,3,1400000.0,skyview tower
1737,Apartment,1488,2,3,825000.0,dec towers
1738,Penthouse,4032,3,4,3300000.0,the torch
1739,Apartment,691,1,2,595000.0,time place tower
1740,Apartment,3881,3,6,3650000.0,emirates crown
1741,Apartment,871,1,2,1354540.0,liv residence
1742,Apartment,871,1,1,1270000.0,liv residence
1743,Apartment,878,1,1,700000.0,time place tower
1744,Apartment,1578,2,3,1350000.0,trident bayside
1745,Apartment,1480,2,3,1550000.0,park island
1746,Apartment,1979,3,4,3300000.0,marina promenade
1747,Apartment,2552,3,5,2500000.0,emaar 6 towers
1748,Apartment,1302,2,3,1700000.0,park island
1749,Apartment,1270,2,3,1650000.0,damac heights
1750,Apartment,724,1,2,1100000.0,studio one
1751,Apartment,724,1,2,1150000.0,studio one
1752,Apartment,3172,4,5,3600000.0,elite residence
1753,Apartment,614,1,1,935000.0,marina view
1754,Apartment,1104,2,3,1100000.0,marina residence
1755,Apartment,1208,2,3,1050000.0,botanica tower
1756,Apartment,916,1,2,625000.0,sulafa tower
1757,Apartment,736,1,2,700000.0,elite residence
1758,Apartment,940,1,2,895000.0,marina sail
1759,Apartment,1603,2,3,2380000.0,trident grand residence
1760,Apartment,840,1,2,950000.0,al majara
1761,Apartment,827,1,2,1195500.0,sparkle towers
1762,Apartment,963,1,2,1225500.0,sparkle towers
1763,Apartment,1913,2,3,1783500.0,sparkle towers
1764,Apartment,1861,3,4,3021888.0,sparkle towers
1765,Apartment,2000,2,3,1820000.0,sparkle towers
1766,Apartment,616,0,1,1290000.0,marina gate
1767,Apartment,2756,3,5,3300000.0,emaar 6 towers
1768,Apartment,823,1,2,525000.0,dec towers
1769,Apartment,922,1,2,1050000.0,park island
1770,Apartment,1822,3,5,3200000.0,marina gate
1771,Apartment,1693,2,3,1640000.0,the royal oceanic
1772,Apartment,2243,2,3,2200000.0,the jewels
1773,Apartment,1211,2,2,2200000.0,marina gate
1774,Apartment,1255,2,3,2000000.0,marina gate
1775,Apartment,1158,2,2,1450000.0,vida residences marina dubai
1776,Apartment,2018,3,3,1425000.0,dorra bay
1777,Apartment,848,1,1,1450000.0,vida residences marina dubai
1778,Apartment,1465,2,3,1650000.0,cayan tower
1779,Apartment,922,1,2,999950.0,park island
1780,Apartment,476,0,1,800000.0,sparkle towers
1781,Apartment,823,1,2,510000.0,dec towers
1782,Apartment,1741,2,3,1350000.0,mag 218
1783,Apartment,358,0,1,500000.0,studio one
1784,Apartment,1507,3,4,1200000.0,sulafa tower
1785,Apartment,619,1,2,1400000.0,marina gate
1786,Apartment,618,1,2,1400000.0,marina gate
1787,Apartment,2483,3,3,3100000.0,emaar 6 towers
1788,Apartment,548,0,1,900000.0,the address dubai marina
1789,Apartment,808,1,2,1100000.0,the address dubai marina
1790,Apartment,847,1,1,750000.0,the waves
1791,Apartment,1139,2,2,1900000.0,5242
1792,Apartment,843,1,2,610000.0,marina crown
1793,Penthouse,6332,4,6,8500000.0,emaar 6 towers
1794,Penthouse,6141,3,5,7000000.0,la residencia del mar
1795,Apartment,949,1,2,1300000.0,damac heights
1796,Apartment,1030,2,2,850000.0,marina diamond 4
1797,Apartment,880,1,2,1200000.0,damac heights
1798,Apartment,699,1,2,1250000.0,damac heights
1799,Apartment,952,1,2,1100000.0,damac heights
1800,Apartment,1557,3,4,1635000.0,bay central
1801,Apartment,1480,2,3,2000000.0,park island
1802,Apartment,923,1,2,799999.0,princess tower
1803,Apartment,2040,3,4,2950000.0,ocean heights
1804,Apartment,1347,2,3,1850000.0,park island
1805,Apartment,713,1,2,1000000.0,west avenue tower
1806,Apartment,868,1,2,1550000.0,marina gate
1807,Apartment,2755,3,5,3500000.0,emaar 6 towers
1808,Apartment,1348,2,3,1000000.0,skyview tower
1809,Apartment,1120,1,2,1150000.0,ocean heights
1810,Apartment,1641,2,3,2000000.0,marina arcade tower
1811,Apartment,868,1,2,1625000.0,marina gate
1812,Apartment,910,1,2,1095000.0,ocean heights
1813,Apartment,1347,2,3,1950000.0,park island
1814,Apartment,1477,2,3,2400000.0,trident grand residence
1815,Apartment,1773,3,4,2100000.0,trident grand residence
1816,Apartment,1773,3,4,2100000.0,trident grand residence
1817,Apartment,1477,2,3,2400000.0,trident grand residence
1818,Apartment,1773,3,4,2100000.0,trident grand residence
1819,Apartment,1477,2,3,2400000.0,trident grand residence
1820,Apartment,714,1,1,600000.0,marina diamond 6
1821,Apartment,1391,3,3,900000.0,manchester tower
1822,Apartment,694,1,1,625000.0,dream towers
1823,Apartment,1859,2,3,1535000.0,trident marinascape
1824,Apartment,1700,2,3,1685000.0,trident marinascape
1825,Apartment,1258,2,2,800000.0,the torch
1826,Apartment,975,1,2,1900000.0,marina gate
1827,Apartment,1622,3,4,2550000.0,ocean heights
1828,Apartment,1874,2,3,2900000.0,trident marinascape
1829,Apartment,2000,3,4,2350000.0,marina tower
1830,Apartment,792,1,2,700000.0,the royal oceanic
1831,Apartment,915,1,2,700000.0,sulafa tower
1832,Apartment,1377,2,2,1400000.0,emerald residence
1833,Apartment,1230,2,3,1150000.0,continental tower
1834,Apartment,772,1,2,1540000.0,marina gate
1835,Apartment,2700,3,5,1550000.0,kg tower
1836,Apartment,908,1,2,800000.0,mag 218
1837,Apartment,1748,3,3,2200000.0,ocean heights
1838,Apartment,1302,2,3,1400000.0,park island
1839,Apartment,591,1,1,830000.0,studio one
1840,Apartment,950,1,2,1300000.0,damac heights
1841,Apartment,824,1,2,515000.0,dec towers
1842,Apartment,1700,2,3,2200000.0,emaar 6 towers
1843,Apartment,1206,2,3,1400000.0,botanica tower
1844,Penthouse,3307,4,5,6250000.0,marina gate
1845,Apartment,1329,2,3,2044499.0,liv residence
1846,Apartment,948,1,2,545000.0,dec towers
1847,Apartment,908,1,2,850000.0,mag 218
1848,Apartment,1622,3,4,2625000.0,ocean heights
1849,Apartment,760,2,2,850000.0,marina wharf
1850,Townhouse,4396,4,6,8000000.0,the jewels
1851,Apartment,1857,3,3,1350000.0,the waves
1852,Apartment,448,0,1,600000.0,bay central
1853,Apartment,824,1,1,699999.0,dec towers
1854,Apartment,1860,1,2,1650000.0,emaar 6 towers
1855,Apartment,1590,2,2,1900000.0,damac heights
1856,Apartment,868,1,2,1460000.0,marina gate
1857,Apartment,1258,2,2,880000.0,the torch
1858,Apartment,514,1,1,589000.0,marina diamond 6
1859,Apartment,1653,2,4,1399950.0,trident marinascape
1860,Apartment,1066,2,2,1900000.0,silverene
1861,Apartment,850,1,2,900000.0,botanica tower
1862,Apartment,2314,3,5,2300000.0,trident bayside
1863,Apartment,521,0,1,500000.0,dec towers
1864,Apartment,2455,2,4,1600000.0,emirates crown
1865,Apartment,695,1,2,800000.0,bay central
1866,Apartment,1386,2,2,2390000.0,liv residence
1867,Apartment,1042,2,2,1750000.0,liv residence
1868,Townhouse,4060,3,3,7200000.0,marina promenade
1869,Apartment,952,1,2,1500000.0,damac heights
1870,Penthouse,5451,4,5,5000000.0,23 marina
1871,Apartment,2979,3,4,2349000.0,23 marina
1872,Apartment,1650,3,3,1590000.0,marina terra
1873,Apartment,1653,2,3,1550000.0,trident marinascape
1874,Apartment,1184,2,2,990000.0,la riviera
1875,Apartment,3022,4,4,2450000.0,marina crown
1876,Apartment,1408,2,3,1895000.0,al majara
1877,Apartment,1491,2,3,790000.0,dec towers
1878,Penthouse,2313,3,4,3400000.0,al sahab
1879,Apartment,2297,3,4,3900000.0,al sahab
1880,Apartment,678,1,1,750000.0,dream towers
1881,Apartment,1330,2,3,1200000.0,elite residence
1882,Apartment,3378,3,3,2999950.0,the jewels
1883,Apartment,699,1,2,999999.0,no.9
1884,Apartment,707,1,2,810000.0,bay central
1885,Apartment,1313,2,4,999999.0,the waves
1886,Townhouse,4396,4,6,8000000.0,the jewels
1887,Apartment,1408,2,2,1800000.0,al majara
1888,Penthouse,6727,5,7,9000000.0,emaar 6 towers
1889,Apartment,1179,2,3,1149950.0,marina residence
1890,Apartment,910,1,2,1075000.0,skyview tower
1891,Penthouse,4543,3,5,3950000.0,dorra bay
1892,Apartment,2013,3,4,1800000.0,princess tower
1893,Apartment,761,1,2,950000.0,marina tower
1894,Apartment,1109,2,3,1630000.0,studio one
1895,Apartment,3880,3,5,2700000.0,emirates crown
1896,Apartment,1030,1,1,1100000.0,ocean heights
1897,Townhouse,4227,3,4,7200000.0,marina promenade
1898,Apartment,2014,3,4,1800000.0,princess tower
1899,Apartment,963,1,2,1327500.0,sparkle towers
1900,Apartment,1478,2,3,2123500.0,sparkle towers
1901,Apartment,3885,3,3,2999000.0,emirates crown
1902,Apartment,1500,2,3,990000.0,westside marina
1903,Apartment,3619,3,5,2680000.0,the jewels
1904,Apartment,2900,4,6,3800000.0,emaar 6 towers
1905,Apartment,682,1,2,1000000.0,no.9
1906,Apartment,950,1,2,1150000.0,liv residence
1907,Apartment,737,1,2,950000.0,continental tower
1908,Apartment,1329,2,3,1250000.0,elite residence
1909,Townhouse,4065,3,4,7200000.0,marina promenade
1910,Apartment,1243,2,3,2100000.0,liv residence
1911,Townhouse,2495,3,5,2695000.0,al sahab
1912,Apartment,773,1,2,1250000.0,marina gate
1913,Apartment,826,1,2,1450000.0,marina gate
1914,Apartment,834,1,2,999995.0,botanica tower
1915,Apartment,889,1,2,1200000.0,damac heights
1916,Apartment,1491,2,3,800000.0,dec towers
1917,Apartment,1256,3,4,1050000.0,marina wharf
1918,Apartment,2200,3,4,1550000.0,23 marina
1919,Apartment,3375,3,3,2999999.0,the jewels
1920,Apartment,962,1,2,1150000.0,sparkle towers
1921,Apartment,1350,2,3,1800000.0,park island
1922,Apartment,5644,4,5,7000000.0,23 marina
1923,Apartment,1299,2,3,1399000.0,elite residence
1924,Apartment,2279,3,4,3100000.0,emaar 6 towers
1926,Apartment,895,1,2,1200000.0,marina promenade
1927,Apartment,5644,4,4,6899999.0,23 marina
1928,Apartment,5644,4,5,5490000.0,23 marina
1929,Penthouse,5644,4,4,7000000.0,23 marina
1930,Apartment,1500,2,2,2200000.0,marina promenade
1931,Apartment,2300,3,3,2800000.0,damac heights
1932,Apartment,3554,3,3,2950000.0,al seef tower
1933,Apartment,1570,2,2,2200000.0,emaar 6 towers
1934,Apartment,2168,3,2,2999999.0,orra marina
1935,Apartment,1381,2,3,2099999.0,marina gate
1936,Apartment,875,1,2,1800000.0,cayan tower
1937,Penthouse,5600,4,4,5300000.0,23 marina
1938,Apartment,2326,3,4,1670000.0,trident waterfront
1939,Apartment,1201,2,3,980000.0,la riviera
1940,Apartment,770,1,2,1200000.0,cayan tower
1941,Apartment,875,1,2,1100000.0,cayan tower
1942,Apartment,2120,3,3,2930850.0,damac residenze
1943,Apartment,963,1,2,1201500.0,sparkle towers
1944,Apartment,1565,2,2,2000000.0,marina quays
1945,Apartment,2800,4,4,2800000.0,princess tower
1946,Apartment,926,1,2,950000.0,the waves
1948,Apartment,784,0,1,1500000.0,cayan tower
1949,Apartment,916,1,2,624999.0,sulafa tower
1950,Apartment,1278,2,3,750000.0,marina park
1951,Duplex,1502,3,2,1150000.0,yacht bay
1952,Apartment,1376,2,2,1595000.0,cayan tower
1953,Apartment,1510,2,3,2270000.0,damac residenze
1954,Apartment,1900,3,4,2820000.0,damac residenze
1955,Apartment,637,1,2,1500000.0,silverene
1956,Apartment,712,0,1,1750000.0,cayan tower
1957,Apartment,689,1,2,1175000.0,marina gate
1958,Apartment,1930,2,3,1990000.0,the jewels
1959,Apartment,800,1,2,1090000.0,west avenue tower
1960,Apartment,1721,3,3,1499000.0,marina heights
1961,Apartment,1098,1,2,850000.0,the jewels
1962,Apartment,1543,2,2,1400000.0,marina terra
1963,Apartment,1161,2,3,1788000.0,marina arcade tower
1964,Apartment,788,1,2,1050000.0,west avenue tower
1965,Apartment,2326,3,4,2600000.0,trident waterfront
1966,Apartment,513,0,1,680000.0,the royal oceanic
1967,Apartment,1185,1,2,1250000.0,emaar 6 towers
1968,Apartment,1255,2,3,1600000.0,cayan tower
1969,Apartment,1606,2,3,1500000.0,skyview tower
1970,Apartment,1452,1,2,1357000.0,skyview tower
1971,Apartment,991,2,2,1450000.0,bay central
1972,Apartment,918,1,2,680000.0,sulafa tower
1973,Apartment,1731,2,3,1890000.0,trident grand residence
1974,Apartment,627,1,1,1250000.0,marina gate
1975,Apartment,1749,3,3,3999999.0,marina gate
1976,Apartment,1258,2,2,855000.0,the torch
1977,Apartment,2327,3,3,1670000.0,trident waterfront
1978,Apartment,1445,2,3,950000.0,marina crown
1979,Apartment,1562,3,3,2100000.0,marina tower
1980,Apartment,613,1,2,595000.0,marina residence
1981,Apartment,1350,2,3,2000000.0,liv residence
1982,Apartment,591,1,1,850000.0,studio one
1983,Townhouse,4663,3,5,5500000.0,bay central
1984,Apartment,909,1,2,1200000.0,park island
1985,Apartment,1307,2,3,1675000.0,al majara
1986,Apartment,960,1,2,820000.0,elite residence
1987,Apartment,1250,2,3,1699999.0,marina arcade tower
1988,Apartment,2612,4,5,4200000.0,cayan tower
1989,Apartment,878,1,1,800000.0,ocean heights
1990,Apartment,1397,2,3,1400000.0,continental tower
1991,Apartment,838,1,1,1500000.0,marina gate
1992,Apartment,1653,3,3,3400000.0,vida residences marina dubai
1993,Apartment,1138,2,2,1810000.0,5242
1994,Apartment,1324,2,3,1850000.0,orra marina
1995,Apartment,2326,3,4,1675000.0,trident waterfront
1996,Apartment,1330,2,3,1400000.0,elite residence
1997,Apartment,1450,2,3,1150000.0,princess tower
1998,Apartment,1990,3,4,1849999.0,princess tower
1999,Apartment,875,1,2,1529950.0,marina gate
2000,Apartment,1809,3,4,4000000.0,marina gate
2001,Penthouse,6250,4,5,6750000.0,elite residence
2002,Apartment,1046,2,3,1900000.0,no.9
2003,Apartment,981,1,1,1642000.0,marina gate
2004,Apartment,1930,2,3,2000000.0,the jewels
2005,Apartment,1259,2,2,1150000.0,the torch
2006,Apartment,1787,3,4,2700000.0,silverene
2007,Apartment,2500,3,3,3450000.0,marina quays
2008,Apartment,1496,2,3,1680000.0,damac heights
2009,Apartment,1875,3,3,2395000.0,marina quays
2010,Apartment,1185,1,2,1350000.0,emaar 6 towers
2011,Apartment,1685,2,3,2300000.0,cayan tower
2012,Apartment,2970,3,4,4150000.0,cayan tower
2013,Apartment,775,1,2,1100000.0,marina gate
2014,Apartment,1382,2,3,2099999.0,marina gate
2015,Apartment,494,0,1,375000.0,marina pearl
2016,Apartment,762,1,2,1135000.0,cayan tower
2017,Apartment,2755,3,4,3600000.0,emaar 6 towers
2018,Apartment,890,1,2,1100000.0,damac heights
2019,Apartment,3179,4,4,3100000.0,princess tower
2020,Apartment,1330,2,2,1500000.0,al majara
2021,Apartment,1219,2,3,800000.0,marina pinnacle
2022,Apartment,1312,2,3,1200000.0,bay central
2023,Apartment,1563,2,2,2350000.0,emaar 6 towers
2024,Apartment,830,1,2,1200000.0,silverene
2025,Apartment,845,1,2,1529950.0,marina gate
2026,Apartment,2497,3,3,2900000.0,emaar 6 towers
2027,Apartment,2860,3,4,3300000.0,ary marina view tower
2028,Apartment,838,1,2,1390000.0,marina gate
2029,Apartment,2622,3,4,2500000.0,trident bayside
2030,Apartment,1979,3,4,3300000.0,marina promenade
2031,Apartment,1203,2,4,1350000.0,the royal oceanic
2032,Apartment,470,0,2,750000.0,botanica tower
2033,Apartment,2683,3,4,1700000.0,marina mansions
2034,Apartment,2459,3,5,3200000.0,marina arcade tower
2035,Apartment,612,0,1,734596.0,tfg marina hotel
2036,Apartment,2384,3,4,1700000.0,trident waterfront
2037,Apartment,1525,2,3,1500000.0,cayan tower
2038,Apartment,1405,2,3,2150000.0,marina promenade
2039,Apartment,2261,3,4,4000000.0,marina gate
2040,Apartment,875,1,2,1575000.0,marina gate
2041,Apartment,450,0,1,475000.0,zumurud tower
2042,Apartment,1133,2,2,1120000.0,bay central
2043,Apartment,849,1,2,1575000.0,marina gate
2044,Apartment,624,1,2,1416000.0,marina gate
2045,Apartment,823,1,2,587000.0,dec towers
2046,Apartment,1135,2,3,2150888.0,no.9
2047,Apartment,1010,1,1,1099999.0,marina heights
2048,Apartment,1525,2,3,1500000.0,cayan tower
2049,Apartment,1292,2,3,1070000.0,marina heights
2050,Apartment,1389,2,3,1600000.0,sulafa tower
2051,Apartment,761,1,2,825000.0,marina view
2052,Apartment,1673,3,4,2950000.0,vida residences marina dubai
2053,Apartment,750,1,1,850000.0,ary marina view tower
2054,Apartment,1262,2,2,1400000.0,vida residences marina dubai
2055,Apartment,1721,3,3,1650000.0,marina heights
2056,Apartment,3882,3,5,2799999.0,emirates crown
2057,Apartment,1943,3,2,2099999.0,al sahab
2058,Apartment,1981,3,5,2000000.0,the waves
2059,Apartment,2483,3,4,3000000.0,emaar 6 towers
2060,Apartment,2871,3,4,1750000.0,trident bayside
2061,Apartment,1305,2,2,1050000.0,princess tower
2062,Apartment,1572,3,4,1100000.0,marina pinnacle
2063,Apartment,529,0,1,898548.0,liv residence
2064,Apartment,529,0,1,913548.0,liv residence
2065,Apartment,1328,2,3,1934548.0,liv residence
2066,Apartment,978,1,2,2310000.0,marina gate
2067,Apartment,1056,2,2,2250000.0,5242
2068,Apartment,1375,2,3,1999000.0,cayan tower
2069,Apartment,1814,3,4,3150000.0,marina gate
